Transaction_ID,Date,Customer_ID,Amount,Category,Subcategory,City,State,Payment_Type
61,02-16-11,4009680,41.14,Exercise & Fitness,Weightlifting Machine Accessories,Phoenix,Arizona,cash
62,04-23-11,4000539,100.93,Team Sports,Beach Volleyball,Columbia,Missouri,credit
63,11-25-11,4009719,129.26,Winter Sports,Downhill Skiing,Orlando,Florida,credit
64,09-28-11,4008455,105.24,Exercise & Fitness,Weightlifting Machine Accessories,Nashville  ,Tennessee,credit
65,12-12-11,4005887,66.06,Outdoor Recreation,Riding Scooters,Jackson,Mississippi,credit
66,02-05-11,4006293,89.14,Outdoor Recreation,Tetherball,Gresham,Oregon,credit
67,10-10-11,4002526,159.14,Games,Poker Chips & Sets,Las Vegas,Nevada,credit
68,05-04-11,4006736,171.57,Dancing,Ballet Bars,Minneapolis,Minnesota,credit
69,05-12-11,4005403,89.91,Team Sports,Softball,Denton,Texas,credit
70,05-13-11,4006291,32.28,Outdoor Recreation,Skating,Salt Lake City,Utah,cash
71,01-26-11,4009360,152.21,Team Sports,Cricket,Portland,Oregon,credit
72,01-04-11,4001305,150.82,Outdoor Recreation,Skateboarding,Denver  ,Colorado,credit
73,05-20-11,4008653,133.2,Outdoor Recreation,Riding Scooters,Jackson,Mississippi,credit
74,10-27-11,4002106,148.31,Games,Portable Electronic Games,Pasadena,California,credit
75,11-19-11,4006262,125.28,Combat Sports,Wrestling,Denton,Texas,credit
76,07-26-11,4003860,170.05,Jumping,Trampolines,Charleston,South Carolina,credit
77,10-07-11,4000458,74.06,Puzzles,Jigsaw Puzzles,Jacksonville ,Florida,credit
78,06-03-11,4002200,175.24,Team Sports,Baseball,Cleveland,Ohio,credit
79,08-04-11,4005751,39.8,Gymnastics,Springboards,St. Louis  ,Missouri,cash
80,10-05-11,4005625,174.82,Outdoor Recreation,Ice Climbing,Eugene,Oregon,credit
81,03-08-11,4003500,188.9,Water Sports,Swimming,San Jose,California,credit
82,01-16-11,4001098,21.23,Gymnastics,Gymnastics Rings,Tampa,Florida,cash
83,12-23-11,4007259,22.42,Outdoor Recreation,Rock Climbing,Hampton  ,Virginia,cash
84,05-31-11,4000293,49.97,Exercise & Fitness,Stopwatches,Clarksville,Tennessee,cash
85,10-17-11,4008024,31.84,Water Sports,Swimming,Saint Paul,Minnesota,cash
86,06-15-11,4008884,80.99,Outdoor Recreation,Tetherball,Orange,California,credit
87,06-05-11,4001050,89.56,Gymnastics,Gymnastics Mats,West Valley City,Utah,credit
88,07-05-11,4003309,55.35,Water Sports,Towed Water Sports,Lincoln,Nebraska,credit
89,05-18-11,4001561,184.56,Team Sports,Cheerleading,Plano,Texas,credit
90,01-02-11,4009270,176.34,Air Sports,Parachutes,San Antonio,Texas,credit
91,02-28-11,4002697,35.75,Outdoor Recreation,Running,Flint,Michigan,cash
92,09-19-11,4008469,42.51,Team Sports,Team Handball,Oklahoma City,Oklahoma,cash
93,02-01-11,4006425,193.11,Winter Sports,Sledding,Irvine,California,credit
94,08-03-11,4005513,68.86,Jumping,Jumping Stilts,Green Bay,Wisconsin,credit
95,07-04-11,4004611,146.36,Water Sports,Whitewater Rafting,Hampton  ,Virginia,credit
96,10-24-11,4005227,130.52,Exercise & Fitness,Medicine Balls,Las Vegas,Nevada,credit
97,10-07-11,4002299,197.54,Exercise & Fitness,Exercise Balls,Plano,Texas,credit
98,09-04-11,4002707,5.95,Games,Dominoes,Lincoln,Nebraska,cash
99,10-10-11,4006562,37.29,Outdoor Play Equipment,Lawn Water Slides,Dallas,Texas,cash
100,11-23-11,4001939,182.82,Outdoor Play Equipment,Water Tables,Miami,Florida,credit
101,11-09-11,4000918,119.77,Jumping,Pogo Sticks,Brownsville,Texas,credit
102,01-09-11,4001286,59.39,Outdoor Recreation,Equestrian,Chattanooga,Tennessee,credit
103,07-06-11,4001839,54.36,Dancing,Ballet Bars,Rockford,Illinois,credit
104,03-02-11,4001237,41.74,Games,Portable Electronic Games,Irving,Texas,credit
105,12-24-11,4003044,88.87,Winter Sports,Downhill Skiing,Irvine,California,credit
106,10-07-11,4007842,145.65,Gymnastics,Pommel Horses,Chattanooga,Tennessee,credit
107,01-01-11,4006017,177.45,Games,Dice & Dice Sets,Orange,California,credit
108,03-20-11,4007549,78.02,Games,Dice Games,Saint Paul,Minnesota,credit
109,12-15-11,4002154,52.55,Outdoor Recreation,Camping & Backpacking & Hiking,Paterson,New Jersey,credit
110,04-18-11,4001165,197.47,Exercise & Fitness,Medicine Balls,Charleston,South Carolina,credit
111,03-05-11,4000401,173.56,Gymnastics,Gymnastics Protective Gear,Portland,Oregon,credit
112,07-03-11,4007626,194.49,Outdoor Recreation,Cycling,Flint,Michigan,credit
113,03-07-11,4005597,11.88,Dancing,Ballet Bars,Denton,Texas,credit
114,02-01-11,4004525,173.51,Puzzles,Jigsaw Puzzles,Dallas,Texas,credit
115,08-29-11,4002190,45.53,Outdoor Recreation,Tetherball,Jackson,Mississippi,credit
116,08-24-11,4002779,56.2,Combat Sports,Martial Arts,Jacksonville ,Florida,credit
117,05-01-11,4001166,10.41,Jumping,Trampoline Accessories,Orange,California,credit
118,04-09-11,4009701,109.9,Exercise & Fitness,Weightlifting Belts,Orlando,Florida,credit
119,04-07-11,4007720,151.81,Exercise & Fitness,Stopwatches,Boise,Idaho,credit
120,08-30-11,4004516,158.14,Jumping,Bungee Jumping,Detroit,Michigan,credit
121,11-10-11,4001728,72.32,Team Sports,Curling,Lexington,Kentucky,credit
122,04-20-11,4007283,62.9,Winter Sports,Downhill Skiing,Long Beach,California,credit
123,12-26-11,4003796,74.49,Exercise & Fitness,Jump Ropes,Columbia,Missouri,credit
124,03-20-11,4006554,187.03,Exercise & Fitness,Weightlifting Belts,Philadelphia,Pennsylvania,credit
125,02-01-11,4006900,37.4,Outdoor Play Equipment,Playhouses,Durham,North Carolina,credit
126,06-14-11,4004623,125.13,Water Sports,Kitesurfing,New York,New York,credit
127,09-01-11,4008040,42.05,Jumping,Pogo Sticks,Indianapolis ,Indiana,credit
128,01-30-11,4002026,74.78,Games,Mahjong,Madison,Wisconsin,credit
129,06-22-11,4005673,24.23,Games,Card Games,Plano,Texas,credit
130,04-18-11,4008395,160.98,Team Sports,Indoor Volleyball,Honolulu  ,Hawaii,credit
131,05-25-11,4001353,138.88,Games,Card Games,San Antonio,Texas,credit
132,10-17-11,4001464,148.57,Dancing,Ballet Bars,Alexandria  ,Virginia,credit
133,05-28-11,4003335,165.81,Water Sports,Whitewater Rafting,Orange,California,credit
134,07-08-11,4006309,32.12,Water Sports,Whitewater Rafting,Chattanooga,Tennessee,credit
135,02-26-11,4008128,103.04,Exercise & Fitness,Medicine Balls,San Diego,California,credit
136,07-13-11,4000623,81.07,Indoor Games,Air Hockey,Chattanooga,Tennessee,credit
137,10-15-11,4008257,129.75,Outdoor Play Equipment,Lawn Water Slides,Pasadena,California,credit
138,08-14-11,4002325,169.18,Winter Sports,Snowmobiling,Detroit,Michigan,credit
139,07-04-11,4004550,93.96,Water Sports,Life Jackets,Gilbert,Arizona,credit
140,09-15-11,4006474,38.56,Outdoor Play Equipment,Slides,Pasadena,Texas,credit
141,11-28-11,4005743,78.16,Gymnastics,Pommel Horses,Eugene,Oregon,credit
142,02-11-11,4009119,168.56,Indoor Games,Bowling,Charlotte,North Carolina,credit
143,10-12-11,4000957,155.83,Team Sports,Team Handball,Detroit,Michigan,credit
144,09-24-11,4009946,10.7,Outdoor Play Equipment,Water Tables,San Francisco,California,cash
145,03-30-11,4007690,69.71,Games,Bingo Sets,Buffalo,New York,credit
146,10-07-11,4000295,185.25,Water Sports,Surfing,Bellevue,Washington,credit
147,12-06-11,4005716,32.33,Team Sports,Soccer,Huntsville,Alabama,cash
148,08-24-11,4005290,132.09,Exercise & Fitness,Weightlifting Gloves,Cambridge,Massachusetts,credit
149,05-11-11,4003543,59.02,Jumping,Jumping Stilts,McKinney,Texas,credit
150,05-17-11,4005939,122.78,Exercise & Fitness,Weight Benches,Denver  ,Colorado,credit
151,01-15-11,4004706,196.99,Water Sports,Kitesurfing,Detroit,Michigan,credit
152,01-14-11,4002650,133.78,Combat Sports,Boxing,Clarksville,Tennessee,credit
153,09-13-11,4005455,55.6,Outdoor Recreation,Track & Field,Montgomery,Alabama,credit
154,04-17-11,4005539,90.71,Gymnastics,Gymnastics Rings,Washington,District of Columbia,credit
155,08-26-11,4002773,33.51,Gymnastics,Gymnastics Rings,Houston,Texas,cash
156,10-09-11,4004618,171.61,Exercise & Fitness,Stopwatches,Orange,California,credit
157,08-29-11,4003008,196.94,Gymnastics,Vaulting Horses,Durham,North Carolina,credit
158,09-04-11,4008499,132.2,Exercise & Fitness,Gym Mats,Nashville  ,Tennessee,credit
159,02-28-11,4006559,118.01,Outdoor Recreation,Lawn Games,Sunnyvale,California,credit
160,08-29-11,4008757,33.49,Outdoor Play Equipment,Water Tables,Orlando,Florida,cash
161,05-15-11,4000528,152.25,Outdoor Recreation,Deck Shuffleboard,Honolulu  ,Hawaii,credit
162,12-16-11,4004439,50.81,Games,Portable Electronic Games,Orlando,Florida,credit
163,12-01-11,4005551,10.43,Water Sports,Towed Water Sports,Everett,Washington,cash
164,12-14-11,4007367,188.57,Outdoor Recreation,Motorsports,Birmingham,Alabama,credit
165,08-24-11,4000319,109.98,Gymnastics,Gymnastics Protective Gear,Miami,Florida,credit
166,08-01-11,4006806,170.12,Water Sports,Scuba Diving & Snorkeling,Memphis,Tennessee,credit
167,03-23-11,4004946,134.55,Indoor Games,Darts,Las Vegas,Nevada,credit
168,01-23-11,4005818,178.61,Team Sports,Indoor Volleyball,Lexington,Kentucky,credit
169,10-11-11,4001423,109.4,Indoor Games,Bowling,Buffalo,New York,credit
170,06-22-11,4008816,68.22,Team Sports,Beach Volleyball,Orange,California,credit
171,01-06-11,4000208,110.7,Winter Sports,Cross-Country Skiing,Baltimore,Maryland,credit
172,07-11-11,4004323,30.07,Outdoor Recreation,Lawn Games,Des Moines,Iowa,cash
173,02-08-11,4007360,152.45,Team Sports,Team Handball,Charlotte,North Carolina,credit
174,01-06-11,4000654,146.23,Water Sports,Life Jackets,Austin,Texas,credit
175,12-07-11,4007924,67.63,Team Sports,Indoor Volleyball,Midland,Texas,credit
176,06-10-11,4004563,74.8,Exercise & Fitness,Exercise Balls,Omaha,Nebraska,credit
177,01-30-11,4007822,98.93,Exercise & Fitness,Foam Rollers,Madison,Wisconsin,credit
178,06-22-11,4002206,90.17,Exercise & Fitness,Weight Benches,St. Louis  ,Missouri,credit
179,05-16-11,4006446,34.08,Indoor Games,Darts,St. Louis  ,Missouri,cash
180,02-04-11,4008563,77.61,Exercise & Fitness,Weightlifting Belts,Denton,Texas,credit
181,12-05-11,4004962,39.05,Winter Sports,Cross-Country Skiing,Berkeley,California,cash
182,01-27-11,4002192,15.07,Outdoor Play Equipment,Sandboxes,Gilbert,Arizona,cash
183,04-11-11,4006778,152.51,Outdoor Recreation,Deck Shuffleboard,Everett,Washington,credit
184,07-15-11,4002711,185.89,Exercise & Fitness,Weight Benches,Minneapolis,Minnesota,credit
185,02-04-11,4002196,73.37,Games,Dice Games,Newark,New Jersey,credit
186,10-18-11,4004702,72.66,Water Sports,Windsurfing,Des Moines,Iowa,credit
187,10-21-11,4007097,161.57,Racquet Sports,Badminton,Irving,Texas,credit
188,02-28-11,4009870,38.46,Exercise & Fitness,Medicine Balls,Gilbert,Arizona,cash
189,06-26-11,4001386,36.38,Indoor Games,Darts,Salem,Oregon,cash
190,01-30-11,4004016,195.33,Outdoor Recreation,Deck Shuffleboard,Orange,California,credit
191,05-04-11,4003446,55.2,Air Sports,Parachutes,Flint,Michigan,credit
192,02-13-11,4001145,45.37,Team Sports,Hockey,San Jose,California,cash
193,10-22-11,4005632,190.12,Water Sports,Towed Water Sports,Washington,District of Columbia,credit
194,04-16-11,4001505,39.13,Exercise & Fitness,Cardio Machines,San Francisco,California,cash
195,11-30-11,4002146,30.15,Outdoor Recreation,Hunting,Gilbert,Arizona,cash
196,08-27-11,4008742,149.44,Exercise & Fitness,Yoga & Pilates,Paterson,New Jersey,credit
197,07-03-11,4001311,170.6,Outdoor Recreation,Golf,San Francisco,California,credit
198,09-25-11,4003850,21.83,Team Sports,Team Handball,Gilbert,Arizona,cash
199,01-30-11,4003263,39.84,Games,Bingo Sets,Long Beach,California,cash
200,11-15-11,4008344,41.92,Water Sports,Scuba Diving & Snorkeling,Colorado Springs,Colorado,credit
201,04-24-11,4003963,114.38,Outdoor Recreation,Skateboarding,Clarksville,Tennessee,credit
202,07-27-11,4004398,24.51,Puzzles,Mechanical Puzzles,Hampton  ,Virginia,credit
203,11-12-11,4005629,70.82,Games,Poker Chips & Sets,Santa Ana,California,credit
204,08-29-11,4006606,16.15,Combat Sports,Wrestling,El Paso,Texas,credit
205,02-03-11,4000906,163.66,Exercise & Fitness,Exercise Balls,Rockford,Illinois,credit
206,06-21-11,4007780,190.43,Water Sports,Whitewater Rafting,Pasadena,Texas,credit
207,10-24-11,4005373,89.13,Outdoor Recreation,Shooting Games,West Valley City,Utah,credit
208,08-11-11,4005005,176.65,Team Sports,Cricket,Montgomery,Alabama,credit
209,05-04-11,4004160,132.76,Gymnastics,Gymnastics Protective Gear,Plano,Texas,credit
210,07-30-11,4002958,39.62,Outdoor Play Equipment,Swing Sets,Vancouver,Washington,credit
211,02-25-11,4005977,96.71,Winter Sports,Snowshoeing,Baltimore,Maryland,credit
212,11-19-11,4002676,109.84,Outdoor Recreation,Shooting Games,San Jose,California,credit
213,09-08-11,4006874,129.34,Gymnastics,Vaulting Horses,San Jose,California,credit
214,05-26-11,4000340,190.26,Indoor Games,Darts,McKinney,Texas,credit
215,08-18-11,4007155,43.84,Puzzles,Jigsaw Puzzles,Honolulu  ,Hawaii,credit
216,12-05-11,4006157,58.46,Exercise & Fitness,Exercise Balls,Baltimore,Maryland,credit
217,11-30-11,4002117,38.02,Winter Sports,Downhill Skiing,Charlotte,North Carolina,credit
218,10-26-11,4003024,44.44,Exercise & Fitness,Free Weight Bars,Chattanooga,Tennessee,credit
219,01-09-11,4005043,166.3,Indoor Games,Foosball,Orange,California,credit
220,08-31-11,4005943,72.5,Water Sports,Kitesurfing,Rockford,Illinois,credit
221,01-20-11,4003408,159.14,Gymnastics,Gymnastics Mats,Newark,New Jersey,credit
222,06-08-11,4002675,96.12,Racquet Sports,Racquetball,Las Vegas,Nevada,credit
223,02-11-11,4001040,170.89,Outdoor Recreation,Riding Scooters,Durham,North Carolina,credit
224,11-04-11,4007582,162.58,Water Sports,Towed Water Sports,Sacramento,California,credit
225,10-09-11,4002094,179.52,Jumping,Pogo Sticks,Honolulu  ,Hawaii,credit
226,08-05-11,4005838,162.51,Team Sports,Cheerleading,Cleveland,Ohio,credit
227,08-28-11,4002842,136.06,Games,Bingo Sets,Los Angeles,California,credit
228,07-29-11,4007116,119.84,Outdoor Recreation,Track & Field,Philadelphia,Pennsylvania,credit
229,08-14-11,4004250,96.69,Gymnastics,Pommel Horses,Salem,Oregon,credit
230,07-01-11,4000383,152.69,Team Sports,Rugby,Columbia,Missouri,credit
231,01-15-11,4002842,58.59,Racquet Sports,Tennis,Midland,Texas,credit
232,12-16-11,4009271,136.28,Puzzles,Jigsaw Puzzles,Columbia,Missouri,credit
233,07-10-11,4007394,152.17,Air Sports,Air Suits,Eugene,Oregon,credit
234,09-02-11,4006018,52.67,Team Sports,Curling,Denver  ,Colorado,credit
235,04-29-11,4005497,115.08,Gymnastics,Gymnastics Protective Gear,Charlotte,North Carolina,credit
236,12-11-11,4000593,180.36,Combat Sports,Boxing,Green Bay,Wisconsin,credit
237,10-11-11,4002334,68.14,Water Sports,Bodyboarding,Oakland,California,credit
238,11-06-11,4004005,16.18,Air Sports,Hang Gliding,Salem,Oregon,credit
239,11-16-11,4007271,26.12,Indoor Games,Foosball,Columbus,Ohio,credit
240,03-12-11,4006399,124.26,Games,Dice Games,San Francisco,California,credit
241,10-14-11,4001894,6.15,Team Sports,Football,Atlanta,Georgia,cash
242,02-27-11,4008085,107.83,Outdoor Recreation,Skating,Madison,Wisconsin,credit
243,01-23-11,4005873,183.32,Racquet Sports,Racquetball,Colorado Springs,Colorado,credit
244,10-18-11,4008674,37.48,Team Sports,Soccer,Portland,Oregon,cash
245,12-19-11,4006533,44.87,Games,Portable Electronic Games,Sunnyvale,California,cash
246,12-24-11,4007174,152.47,Combat Sports,Fencing,Miami,Florida,credit
247,04-29-11,4000987,118.17,Team Sports,Indoor Volleyball,Brownsville,Texas,credit
248,02-24-11,4006890,20.24,Outdoor Play Equipment,Sandboxes,Alexandria  ,Virginia,cash
249,09-20-11,4003332,132.55,Exercise & Fitness,Yoga & Pilates,Springfield,Illinois,credit
250,07-20-11,4001160,179.47,Air Sports,Air Suits,Durham,North Carolina,credit
251,08-16-11,4001857,123.84,Outdoor Play Equipment,Lawn Water Slides,Kansas City,Missouri,credit
252,01-24-11,4003825,85.56,Games,Card Games,Springfield,Illinois,credit
253,07-31-11,4008815,78.35,Air Sports,Hang Gliding,Anaheim,California,credit
254,08-23-11,4006934,139.68,Combat Sports,Fencing,Gresham,Oregon,credit
255,03-16-11,4006383,189.42,Games,Board Games,Alexandria  ,Virginia,credit
256,08-30-11,4002092,179.82,Games,Board Games,Centennial,Colorado,credit
257,09-06-11,4007058,124.66,Outdoor Play Equipment,Playhouses,Huntsville,Alabama,credit
258,03-16-11,4002446,155.04,Outdoor Recreation,Disc Golf,Lowell,Massachusetts,credit
259,10-06-11,4008321,162.89,Indoor Games,Foosball,Las Vegas,Nevada,credit
260,01-26-11,4008619,19.31,Water Sports,Water Tubing,Vancouver,Washington,cash
261,02-06-11,4008246,166.03,Team Sports,Curling,Santa Ana,California,credit
262,11-18-11,4000358,177.02,Team Sports,Field Hockey,Milwaukee,Wisconsin,credit
263,05-26-11,4001158,147.29,Jumping,Bungee Jumping,Salem,Oregon,credit
264,02-04-11,4001625,158.43,Combat Sports,Fencing,Fremont,California,credit
265,12-15-11,4002242,82.8,Water Sports,Windsurfing,Dallas,Texas,credit
266,09-18-11,4007202,134.53,Racquet Sports,Racquetball,Berkeley,California,credit
267,01-15-11,4005311,55.86,Racquet Sports,Squash,Santa Ana,California,credit
268,08-24-11,4008929,39.78,Jumping,Pogo Sticks,Las Vegas,Nevada,cash
269,12-23-11,4003512,120.65,Jumping,Bungee Jumping,Madison,Wisconsin,credit
270,03-11-11,4000358,60.2,Winter Sports,Snowboarding,Orlando,Florida,credit
271,09-20-11,4001778,55.12,Jumping,Trampolines,Plano,Texas,credit
272,05-13-11,4000032,82.17,Racquet Sports,Racquetball,Lexington,Kentucky,credit
273,10-04-11,4006902,79.66,Gymnastics,Springboards,Baltimore,Maryland,credit
274,12-07-11,4009919,145.79,Water Sports,Scuba Diving & Snorkeling,Kansas City,Kansas,credit
275,10-05-11,4008279,145.42,Outdoor Recreation,Disc Golf,Santa Ana,California,credit
276,05-22-11,4004115,44.05,Racquet Sports,Squash,Portland,Oregon,cash
277,02-22-11,4007604,59.15,Indoor Games,Air Hockey,Sacramento,California,credit
278,02-22-11,4006610,72.65,Exercise & Fitness,Weightlifting Machine Accessories,Orlando,Florida,credit
279,10-27-11,4000095,41.69,Indoor Games,Darts,Montgomery,Alabama,cash
280,11-11-11,4001681,142.8,Water Sports,Water Polo,Eugene,Oregon,credit
281,01-01-11,4009900,181.6,Gymnastics,Balance Beams,Madison,Wisconsin,credit
282,08-21-11,4000603,167.46,Team Sports,Hockey,Centennial,Colorado,credit
283,10-07-11,4009673,72.3,Water Sports,Kitesurfing,Charlotte,North Carolina,credit
284,10-30-11,4003340,114.32,Games,Bingo Sets,Colorado Springs,Colorado,credit
285,03-03-11,4006792,31.35,Winter Sports,Downhill Skiing,Cleveland,Ohio,cash
286,02-23-11,4004620,100.64,Dancing,Ballet Bars,Pittsburgh,Pennsylvania,credit
287,08-14-11,4006021,11.72,Air Sports,Air Suits,Pittsburgh,Pennsylvania,cash
288,09-22-11,4005760,192.01,Team Sports,Beach Volleyball,Jersey City,New Jersey,credit
289,06-19-11,4000674,155.55,Outdoor Play Equipment,Slides,Cleveland,Ohio,credit
290,01-14-11,4002340,106.57,Outdoor Recreation,Motorsports,El Paso,Texas,credit
291,02-01-11,4005508,32.68,Combat Sports,Wrestling,Sunnyvale,California,cash
292,09-06-11,4008793,15.88,Gymnastics,Springboards,Coral Springs,Florida,cash
293,06-28-11,4002482,86.92,Water Sports,Water Tubing,Boise,Idaho,credit
294,02-12-11,4001671,153.72,Gymnastics,Gymnastics Rings,Jersey City,New Jersey,credit
295,10-07-11,4006572,175.88,Indoor Games,Bowling,Chattanooga,Tennessee,credit
296,01-14-11,4000607,93.96,Gymnastics,Vaulting Horses,Saint Paul,Minnesota,credit
297,06-07-11,4005387,184.24,Team Sports,Curling,Montgomery,Alabama,credit
298,09-09-11,4001592,12.06,Outdoor Recreation,Disc Golf,Chattanooga,Tennessee,cash
299,10-04-11,4005943,165.05,Team Sports,Team Handball,Denton,Texas,credit
300,04-26-11,4001812,142.33,Outdoor Play Equipment,Playhouses,Tampa,Florida,credit
301,03-09-11,4004628,178.25,Outdoor Recreation,Archery,Salt Lake City,Utah,credit
302,04-04-11,4002708,61.21,Team Sports,Rugby,Flint,Michigan,credit
303,03-14-11,4006702,152.31,Exercise & Fitness,Cardio Machines,Las Vegas,Nevada,credit
304,01-08-11,4001717,178.61,Indoor Games,Bowling,Omaha,Nebraska,credit
305,11-10-11,4009638,61.96,Team Sports,Cheerleading,West Valley City,Utah,credit
306,06-25-11,4004259,73.97,Indoor Games,Air Hockey,Huntsville,Alabama,credit
307,05-02-11,4003126,132.93,Outdoor Recreation,Geocaching,Columbia,Missouri,credit
308,02-21-11,4007004,154.92,Combat Sports,Martial Arts,Denton,Texas,credit
309,03-24-11,4009387,125.4,Games,Card Games,Tampa,Florida,credit
310,04-09-11,4008616,63.72,Indoor Games,Table Shuffleboard,Charleston,South Carolina,credit
311,10-02-11,4003773,95.71,Jumping,Bungee Jumping,Pasadena,Texas,credit
312,04-13-11,4002903,17.35,Racquet Sports,Tennis,Milwaukee,Wisconsin,credit
313,09-09-11,4009113,46.24,Air Sports,Air Suits,Des Moines,Iowa,credit
